10/2048 plants; 1 calls; 10 passed, 0 failed
1100/2048 plants; 110 calls; 1099 passed, 1 failed
1110/2048 plants; 111 calls; 1109 passed, 1 failed
1120/2048 plants; 112 calls; 1119 passed, 1 failed
1130/2048 plants; 113 calls; 1129 passed, 1 failed
1140/2048 plants; 114 calls; 1139 passed, 1 failed
1150/2048 plants; 115 calls; 1149 passed, 1 failed
1160/2048 plants; 116 calls; 1159 passed, 1 failed
1170/2048 plants; 117 calls; 1169 passed, 1 failed
1180/2048 plants; 118 calls; 1179 passed, 1 failed
1190/2048 plants; 119 calls; 1189 passed, 1 failed
1200/2048 plants; 120 calls; 1199 passed, 1 failed
1210/2048 plants; 121 calls; 1209 passed, 1 failed
1220/2048 plants; 122 calls; 1219 passed, 1 failed
1230/2048 plants; 123 calls; 1229 passed, 1 failed
1240/2048 plants; 124 calls; 1239 passed, 1 failed
1250/2048 plants; 125 calls; 1249 passed, 1 failed
1260/2048 plants; 126 calls; 1259 passed, 1 failed
1270/2048 plants; 127 calls; 1269 passed, 1 failed
1280/2048 plants; 128 calls; 1279 passed, 1 failed
1290/2048 plants; 129 calls; 1289 passed, 1 failed
1300/2048 plants; 130 calls; 1299 passed, 1 failed
1310/2048 plants; 131 calls; 1309 passed, 1 failed
1320/2048 plants; 132 calls; 1319 passed, 1 failed
1330/2048 plants; 133 calls; 1329 passed, 1 failed
1340/2048 plants; 134 calls; 1339 passed, 1 failed
1350/2048 plants; 135 calls; 1349 passed, 1 failed
1360/2048 plants; 136 calls; 1359 passed, 1 failed
1370/2048 plants; 137 calls; 1369 passed, 1 failed
1380/2048 plants; 138 calls; 1379 passed, 1 failed
1390/2048 plants; 139 calls; 1389 passed, 1 failed
1400/2048 plants; 140 calls; 1399 passed, 1 failed
1410/2048 plants; 141 calls; 1409 passed, 1 failed
1420/2048 plants; 142 calls; 1419 passed, 1 failed
1430/2048 plants; 143 calls; 1429 passed, 1 failed
1440/2048 plants; 144 calls; 1439 passed, 1 failed
1450/2048 plants; 145 calls; 1449 passed, 1 failed
1460/2048 plants; 146 calls; 1449 passed, 11 failed
1470/2048 plants; 147 calls; 1459 passed, 11 failed
1480/2048 plants; 148 calls; 1469 passed, 11 failed
1490/2048 plants; 149 calls; 1479 passed, 11 failed
1500/2048 plants; 150 calls; 1489 passed, 11 failed
1510/2048 plants; 151 calls; 1499 passed, 11 failed
1520/2048 plants; 152 calls; 1509 passed, 11 failed
1530/2048 plants; 153 calls; 1519 passed, 11 failed
1540/2048 plants; 154 calls; 1529 passed, 11 failed
1550/2048 plants; 155 calls; 1539 passed, 11 failed
1560/2048 plants; 156 calls; 1549 passed, 11 failed
1570/2048 plants; 157 calls; 1559 passed, 11 failed
1580/2048 plants; 158 calls; 1569 passed, 11 failed
1590/2048 plants; 159 calls; 1579 passed, 11 failed
1600/2048 plants; 160 calls; 1579 passed, 21 failed
1610/2048 plants; 161 calls; 1589 passed, 21 failed
1620/2048 plants; 162 calls; 1599 passed, 21 failed
1630/2048 plants; 163 calls; 1609 passed, 21 failed
1640/2048 plants; 164 calls; 1619 passed, 21 failed
1650/2048 plants; 165 calls; 1629 passed, 21 failed
1660/2048 plants; 166 calls; 1639 passed, 21 failed
1670/2048 plants; 167 calls; 1649 passed, 21 failed
1680/2048 plants; 168 calls; 1659 passed, 21 failed
1690/2048 plants; 169 calls; 1668 passed, 22 failed
1700/2048 plants; 170 calls; 1678 passed, 22 failed
1710/2048 plants; 171 calls; 1688 passed, 22 failed
1720/2048 plants; 172 calls; 1698 passed, 22 failed
1730/2048 plants; 173 calls; 1708 passed, 22 failed
1740/2048 plants; 174 calls; 1718 passed, 22 failed
1750/2048 plants; 175 calls; 1728 passed, 22 failed
1760/2048 plants; 176 calls; 1738 passed, 22 failed
1770/2048 plants; 177 calls; 1748 passed, 22 failed
1780/2048 plants; 178 calls; 1758 passed, 22 failed
1790/2048 plants; 179 calls; 1768 passed, 22 failed
1800/2048 plants; 180 calls; 1778 passed, 22 failed
1810/2048 plants; 181 calls; 1788 passed, 22 failed
1820/2048 plants; 182 calls; 1798 passed, 22 failed
1830/2048 plants; 183 calls; 1808 passed, 22 failed
1840/2048 plants; 184 calls; 1818 passed, 22 failed
1850/2048 plants; 185 calls; 1828 passed, 22 failed
1860/2048 plants; 186 calls; 1838 passed, 22 failed
1870/2048 plants; 187 calls; 1848 passed, 22 failed
1880/2048 plants; 188 calls; 1858 passed, 22 failed
1890/2048 plants; 189 calls; 1868 passed, 22 failed
1900/2048 plants; 190 calls; 1878 passed, 22 failed
1910/2048 plants; 191 calls; 1888 passed, 22 failed
1920/2048 plants; 192 calls; 1898 passed, 22 failed
1930/2048 plants; 193 calls; 1908 passed, 22 failed
1940/2048 plants; 194 calls; 1918 passed, 22 failed
1950/2048 plants; 195 calls; 1928 passed, 22 failed
1960/2048 plants; 196 calls; 1938 passed, 22 failed
1970/2048 plants; 197 calls; 1948 passed, 22 failed
1980/2048 plants; 198 calls; 1958 passed, 22 failed
1990/2048 plants; 199 calls; 1968 passed, 22 failed
2000/2048 plants; 200 calls; 1978 passed, 22 failed
2010/2048 plants; 201 calls; 1988 passed, 22 failed
2020/2048 plants; 202 calls; 1998 passed, 22 failed
2030/2048 plants; 203 calls; 2008 passed, 22 failed
2040/2048 plants; 204 calls; 2018 passed, 22 failed
2048/2048 plants; 205 calls; 2026 passed, 22 failed
{"complete": true, "count": 2048, "usage": {"input_tokens": 4828403, "cached_input_tokens": 989184, "cache_write_input_tokens": 0, "output_tokens": 528630, "reasoning_output_tokens": 326464, "uncached_input_tokens": 3839219}, "validatedCount": 2026, "failedCount": 22, "generationCompletedCount": 2028, "generationCallCount": 205, "completedCallCount": 203, "missingUsageCount": 2, "nullSummaryCount": 66, "startedAt": "2026-09-15T08:49:43.007848+00:00", "completedAt": "2026-09-15T12:15:51.442258+00:00", "elapsedWallSeconds": 12368.43441, "totalGenerationSeconds": 12346.092607793005, "savedOutputTokens": 200948, "usageUnit": "CLI call; counted once per batch", "scope": "CLI generation processes only. Includes CLI instructions; excludes coordinating chat and Python. Cached/reasoning counts are subsets. Botanical accuracy has not been reviewed.", "validation": "JSON object/schema, whitespace word counts, deterministic sentence-boundary heuristic, paragraph count, evidence-ID existence and required evidence; no LLM review."}
