batch,taxonId,name,language,status,paragraphWords,paragraphTokens,compactOutputTokens,foodAndToxicityTokenContribution,reviewFlagsTokenContribution,foodStatus,toxicityStatus,reviewFlagCount,errors
batch-02,969515,Avellinia festucoides,es,draft,38,61,124,26,5,not_documented,not_documented,0,[]
batch-02,128167,Paeonia officinalis,en,draft,62,76,144,26,5,not_documented,not_documented,0,[]
batch-02,167982,Rosa gallica,en,draft,63,81,144,26,5,not_documented,not_documented,0,[]
batch-02,1008075,Galium viscosum,pt,draft,69,83,152,26,5,not_documented,not_documented,0,[]
batch-02,286972,Salvia involucrata,en,draft,68,86,149,26,5,not_documented,not_documented,0,[]
batch-02,61963,Oxalis debilis,en,draft,72,89,275,144,5,documented_use,reported,0,[]
batch-02,564178,Aechmea recurvata,en,draft,53,65,133,26,5,not_documented,not_documented,0,[]
batch-02,338749,Orobanche rapum-genistae,en,draft,71,87,150,26,5,not_documented,not_documented,0,[]
batch-02,123118,Leucophyllum frutescens,en,draft,77,102,170,26,5,not_documented,not_documented,0,[]
batch-02,75917,Buddleja saligna,en,draft,71,87,145,26,5,not_documented,not_documented,0,[]
batch-02,450954,Limonium lowei,pt,draft,37,48,121,26,5,not_documented,not_documented,0,[]
batch-02,348605,Festuca brigantina,pt,draft,40,61,119,26,5,not_documented,not_documented,0,[]
batch-02,338108,Crepis lampsanoides,pt,draft,29,37,105,26,5,not_documented,not_documented,0,[]
batch-02,83004,Lavandula pedunculata,en,draft,56,75,143,26,5,not_documented,not_documented,0,[]
batch-02,59264,Lathyrus cicera,en,draft,68,87,238,100,24,documented_use,reported,1,[]
batch-02,327308,Ledebouria socialis,en,draft,60,78,136,26,5,not_documented,not_documented,0,[]
batch-02,782338,Azara serrata,en,draft,54,66,124,26,5,not_documented,not_documented,0,[]
batch-02,71173,Gladiolus illyricus,en,draft,54,64,122,26,5,not_documented,not_documented,0,[]
batch-02,605663,Sambucus lanceolata,en,draft,29,40,98,26,5,not_documented,not_documented,0,[]
batch-02,467407,Delphinium gracile,en,draft,26,40,93,26,5,not_documented,not_documented,0,[]
batch-02,82631,Phagnalon saxatile,en,insufficient_source,0,0,73,26,26,not_documented,not_documented,1,[]
batch-03,47602,Taraxacum officinale,en,draft,69,89,332,196,5,documented_use,not_documented,0,[]
batch-03,128614,Cornus kousa,en,draft,64,88,295,155,5,documented_use,not_documented,0,[]
batch-03,906118,Betonica officinalis,en,draft,64,87,165,26,5,not_documented,not_documented,0,[]
batch-03,162763,Eucalyptus saligna,en,draft,76,95,163,26,5,not_documented,not_documented,0,[]
batch-03,76202,Celtis australis,en,draft,75,92,200,56,5,documented_use,not_documented,0,[]
batch-03,128268,Gomphrena globosa,en,draft,67,84,230,99,5,documented_use,not_documented,0,[]
batch-03,136897,Abies religiosa,en,draft,77,86,154,26,5,not_documented,not_documented,0,[]
batch-03,777602,Knautia subscaposa,pt,draft,72,100,193,26,35,not_documented,not_documented,1,[]
batch-03,343495,Hedera algeriensis,en,draft,77,90,241,109,5,not_documented,reported,0,[]
batch-03,1277875,Hedlundia hybrida,en,draft,64,99,163,26,5,not_documented,not_documented,0,[]
batch-03,56617,Ceanothus thyrsiflorus,en,draft,76,97,160,26,5,not_documented,not_documented,0,[]
batch-03,64318,Cistus creticus,en,draft,67,85,148,26,5,not_documented,not_documented,0,[]
batch-03,341586,Coronilla repanda,pt,draft,45,63,121,26,5,not_documented,not_documented,0,[]
batch-03,341116,Andryala arenaria,pt,draft,42,63,121,26,5,not_documented,not_documented,0,[]
batch-03,292142,Musa balbisiana,en,draft,73,92,316,149,33,conflicting,not_documented,1,[]
batch-03,323012,Scrophularia herminii,pt,draft,38,48,116,26,5,not_documented,not_documented,0,[]
batch-03,1007798,Silene gracilis,pt,draft,33,37,106,26,5,not_documented,not_documented,0,[]
batch-03,1044766,Curio ficoides,en,draft,61,79,143,26,5,not_documented,not_documented,0,[]
batch-03,346024,Dryopteris azorica,pt,draft,17,27,80,26,5,not_documented,not_documented,0,[]
batch-03,1569900,Oceaniopteris gibba,en,draft,61,76,135,26,5,not_documented,not_documented,0,[]
batch-03,243637,Lantana horrida,en,draft,72,101,159,26,5,not_documented,not_documented,0,[]
batch-03,338381,Carex laevigata,en,draft,46,67,120,26,5,not_documented,not_documented,0,[]
batch-03,443999,Streptocarpus saxorum,en,draft,48,63,116,26,5,not_documented,not_documented,0,[]
batch-03,994929,Lemanea fluviatilis,en,draft,15,25,83,26,5,not_documented,not_documented,0,[]
batch-03,124395,Ctenidium molluscum,en,draft,18,31,89,26,5,not_documented,not_documented,0,[]
batch-04,56133,Quercus robur,en,draft,67,88,203,68,5,documented_use,not_documented,0,[]
batch-04,52856,Artemisia vulgaris,en,draft,58,76,317,199,5,documented_use,reported,0,[]
batch-04,132451,Tithonia diversifolia,en,draft,69,86,149,26,5,not_documented,not_documented,0,[]
batch-04,410762,Protea neriifolia,en,draft,68,90,168,26,5,not_documented,not_documented,0,[]
batch-04,47898,Opuntia stricta,en,draft,65,80,205,67,21,documented_use,not_documented,1,[]
batch-04,83602,Leptospermum polygalifolium,en,draft,63,78,136,26,5,not_documented,not_documented,0,[]
batch-04,51751,Ulex europaeus,en,draft,68,86,184,56,5,documented_use,not_documented,0,[]
batch-04,142248,Armeria sampaioi,pt,draft,65,88,173,26,32,not_documented,not_documented,1,[]
batch-04,1024536,Rabelera holostea,en,draft,67,77,156,26,5,not_documented,not_documented,0,[]
batch-04,55971,Tanacetum vulgare,pt,draft,60,76,254,136,5,documented_use,reported,0,[]
batch-04,76904,Erigeron bonariensis,en,draft,64,84,172,26,20,not_documented,not_documented,1,[]
batch-04,136153,Cycas circinalis,en,draft,68,75,301,166,33,documented_use,reported,1,[]
batch-04,277338,Xanthosoma violaceum,pt,draft,42,60,174,82,5,documented_use,not_documented,0,[]
batch-04,64331,Iris foetidissima,en,draft,65,79,147,26,5,not_documented,not_documented,0,[]
batch-04,139471,Cercis chinensis,en,draft,65,78,141,26,5,not_documented,not_documented,0,[]
batch-04,513515,Wahlenbergia lobelioides,pt,draft,30,49,107,26,5,not_documented,not_documented,0,[]
batch-04,82995,Nepeta tuberosa,pt,draft,39,54,112,26,5,not_documented,not_documented,0,[]
batch-04,281069,Agave xylonacantha,en,draft,60,86,145,26,5,not_documented,not_documented,0,[]
batch-04,135849,Macrozamia moorei,en,draft,49,71,129,26,5,not_documented,not_documented,0,[]
batch-04,447634,Salvia japonica,en,draft,57,69,127,26,5,not_documented,not_documented,0,[]
batch-04,185515,Greyia radlkoferi,en,draft,57,75,128,26,5,not_documented,not_documented,0,[]
batch-04,482289,Cuscuta monogyna,en,draft,22,29,82,26,5,not_documented,not_documented,0,[]
batch-04,771694,Erica azorica,en,draft,45,58,116,26,5,not_documented,not_documented,0,[]
batch-04,493622,Vanda tricolor,en,draft,37,52,105,26,5,not_documented,not_documented,0,[]
batch-04,853278,Frankenia capitata,en,draft,21,30,83,26,5,not_documented,not_documented,0,[]
batch-05,83992,Betula pendula,en,draft,77,109,266,120,5,documented_use,not_documented,0,[]
batch-05,340357,Rotheca myricoides,en,draft,73,93,171,26,5,not_documented,not_documented,0,[]
batch-05,135371,Eucalyptus grandis,en,draft,68,94,167,26,5,not_documented,not_documented,0,[]
batch-05,76158,Catalpa speciosa,en,draft,71,93,176,26,5,not_documented,not_documented,0,[]
batch-05,79109,Silene latifolia,en,draft,72,96,164,26,5,not_documented,not_documented,0,[]
batch-05,199217,Pachycereus pecten-aboriginum,en,draft,67,95,435,268,25,documented_use,reported,1,[]
batch-05,320523,Rhododendron arboreum,en,draft,66,92,170,26,5,not_documented,not_documented,0,[]
batch-05,1098487,Caroxylon vermiculatum,en,draft,70,103,167,26,5,not_documented,not_documented,0,[]
batch-05,372275,Platanthera azorica,en,draft,74,102,170,26,5,not_documented,not_documented,0,[]
batch-05,82653,Calendula suffruticosa,en,draft,54,70,128,26,5,not_documented,not_documented,0,[]
batch-05,55827,Helleborus foetidus,en,draft,69,95,193,61,5,not_documented,reported,0,[]
batch-05,320052,Austrocylindropuntia subulata,en,draft,67,98,161,26,5,not_documented,not_documented,0,[]
batch-05,164229,Jasminum mesnyi,en,draft,72,93,161,26,5,not_documented,not_documented,0,[]
batch-05,168412,Sanicula europaea,en,draft,65,85,158,26,5,not_documented,not_documented,0,[]
batch-05,410471,Alstroemeria aurea,en,draft,67,86,144,26,5,not_documented,not_documented,0,[]
batch-05,282739,Echeveria affinis,es,draft,56,73,136,26,5,not_documented,not_documented,0,[]
batch-05,132710,Fumaria reuteri,pt,draft,38,46,114,26,5,not_documented,not_documented,0,[]
batch-05,55881,Hedera maderensis,en,draft,71,91,154,26,5,not_documented,not_documented,0,[]
batch-05,595706,Trifolium diffusum,pt,draft,39,48,121,26,5,not_documented,not_documented,0,[]
batch-05,52971,Epilobium brachycarpum,en,draft,70,92,145,26,5,not_documented,not_documented,0,[]
batch-05,508892,Lavandula lanata,en,draft,65,84,142,26,5,not_documented,not_documented,0,[]
batch-05,167996,Rosa villosa,en,draft,71,85,153,26,5,not_documented,not_documented,0,[]
batch-05,372694,Eupatorium lindleyanum,en,draft,48,73,131,26,5,not_documented,not_documented,0,[]
batch-05,244707,Blechnum appendiculatum,en,draft,41,53,106,26,5,not_documented,not_documented,0,[]
batch-05,282861,Alonsoa meridionalis,en,insufficient_source,0,0,77,26,30,not_documented,not_documented,1,[]
batch-06,167121,Pogonatum urnigerum,en,draft,70,89,167,26,5,not_documented,not_documented,0,[]
batch-06,77279,Glaucium flavum,en,draft,73,99,217,76,5,not_documented,reported,0,[]
batch-06,122812,Citrus australasica,en,draft,75,90,267,125,5,documented_use,not_documented,0,[]
batch-06,944246,Trithrinax acanthocoma,pt,needs_review,0,0,83,26,37,not_assessed,not_assessed,1,[]
batch-06,59556,Cercis occidentalis,en,draft,69,93,166,26,5,not_documented,not_documented,0,[]
batch-06,122323,Allocasuarina verticillata,en,draft,67,88,249,114,5,documented_use,not_documented,0,[]
batch-06,75549,Arctotheca prostrata,en,draft,68,92,187,26,27,not_documented,not_documented,1,[]
batch-06,362150,Hydrangea aspera,en,draft,67,89,152,26,5,not_documented,not_documented,0,[]
batch-06,164027,Iberis amara,en,draft,64,81,149,26,5,not_documented,not_documented,0,[]
batch-06,481760,Peucedanum oreoselinum,pt,draft,71,87,150,26,5,not_documented,not_documented,0,[]
batch-06,136896,Abies pinsapo,en,draft,75,91,154,26,5,not_documented,not_documented,0,[]
batch-06,774727,Juniperus turbinata,en,draft,73,100,168,26,5,not_documented,not_documented,0,[]
batch-06,78869,Ribes viburnifolium,en,draft,76,99,167,26,5,not_documented,not_documented,0,[]
batch-06,337749,Euphorbia grandicornis,en,draft,69,89,162,26,5,not_documented,not_documented,0,[]
batch-06,450814,Valerianella eriocarpa,pt,draft,24,31,94,26,5,not_documented,not_documented,0,[]
batch-06,342038,Sesamoides purpurascens,pt,draft,23,32,95,26,5,not_documented,not_documented,0,[]
batch-06,556628,Ilex latifolia,en,draft,73,90,185,58,5,documented_use,not_documented,0,[]
batch-06,165730,Nonea vesicaria,pt,draft,23,29,92,26,5,not_documented,not_documented,0,[]
batch-06,77654,Lemna aequinoctialis,en,draft,68,87,145,26,5,not_documented,not_documented,0,[]
batch-06,76599,Dactyloctenium aegyptium,en,draft,49,58,163,54,19,documented_use,not_documented,1,[]
batch-06,402984,Lampranthus spectabilis,en,draft,34,48,101,26,5,not_documented,not_documented,0,[]
batch-06,588545,Lampranthus explanatus,en,draft,59,77,146,26,21,not_documented,not_documented,1,[]
batch-06,423622,Phyllarthron bojerianum,en,draft,47,65,118,26,5,not_documented,not_documented,0,[]
batch-06,342035,Delphinium halteratum,en,insufficient_source,0,0,72,26,25,not_documented,not_documented,1,[]
batch-06,1132038,Calliandra tweediei,en,draft,18,27,81,26,5,not_documented,not_documented,0,[]
batch-07,244745,Anemone coronaria,en,draft,69,98,161,26,5,not_documented,not_documented,0,[]
batch-07,61470,Rhinanthus minor,en,draft,71,94,206,57,18,not_documented,reported,1,[]
batch-07,53076,Geranium molle,en,draft,70,101,164,26,5,not_documented,not_documented,0,[]
batch-07,75995,Campsis radicans,en,draft,67,90,271,134,5,not_documented,reported,0,[]
batch-07,61432,Prunus laurocerasus,en,draft,65,86,267,144,5,documented_use,reported,0,[]
batch-07,155794,Tordylium apulum,en,draft,78,102,229,85,5,documented_use,not_documented,0,[]
batch-07,82962,Rhamnus lycioides,en,draft,70,96,244,101,5,not_documented,reported,0,[]
batch-07,166500,Pereskia aculeata,en,draft,74,102,234,90,5,documented_use,not_documented,0,[]
batch-07,51735,Clarkia unguiculata,en,draft,68,98,201,61,5,documented_use,not_documented,0,[]
batch-07,1268925,Limonium dodartii,pt,draft,66,92,151,26,5,not_documented,not_documented,0,[]
batch-07,823684,Chrysojasminum fruticans,en,draft,74,101,212,64,5,not_documented,explicitly_absent,0,[]
batch-07,338622,Narcissus gaditanus,en,draft,58,89,166,26,24,not_documented,not_documented,1,[]
batch-07,204330,Iris domestica,en,draft,67,97,165,26,5,not_documented,not_documented,0,[]
batch-07,166296,Pellia epiphylla,en,draft,69,98,166,26,5,not_documented,not_documented,0,[]
batch-07,319417,Gagea pratensis,en,draft,67,93,175,26,24,not_documented,not_documented,1,[]
batch-07,135363,Lophostemon confertus,en,draft,72,93,151,26,5,not_documented,not_documented,0,[]
batch-07,915673,Rumex spinosus,en,draft,73,92,206,82,5,documented_use,not_documented,0,[]
batch-07,338110,Genista micrantha,pt,draft,20,26,89,26,5,not_documented,not_documented,0,[]
batch-07,53771,Cotoneaster horizontalis,en,draft,71,90,148,26,5,not_documented,not_documented,0,[]
batch-07,59076,Lemna minuta,en,draft,66,78,141,26,5,not_documented,not_documented,0,[]
batch-07,410763,Luculia gratissima,en,draft,59,74,132,26,5,not_documented,not_documented,0,[]
batch-07,154888,Pachystachys lutea,en,draft,50,69,127,26,5,not_documented,not_documented,0,[]
batch-07,158585,Arctotis stoechadifolia,en,draft,63,85,156,26,18,not_documented,not_documented,1,[]
batch-07,85422,Prunella laciniata,en,draft,32,55,113,26,5,not_documented,not_documented,0,[]
batch-07,338396,Malva tournefortiana,en,draft,35,55,108,26,5,not_documented,not_documented,0,[]
batch-08,79472,Vachellia farnesiana,en,draft,73,92,257,113,5,documented_use,not_documented,0,[]
batch-08,166920,Pithecellobium dulce,en,draft,71,87,338,198,21,documented_use,reported,1,[]
batch-08,54834,Prunus serotina,en,draft,69,84,330,189,5,documented_use,reported,0,[]
batch-08,51779,Sempervivum tectorum,en,draft,69,83,198,63,5,not_documented,reported,0,[]
batch-08,437618,Ficus subpisocarpa,en,draft,69,88,156,26,5,not_documented,not_documented,0,[]
batch-08,122811,Pimenta dioica,pt,draft,72,86,268,135,5,documented_use,not_documented,0,[]
batch-08,58188,Mentha arvensis,en,draft,66,81,216,88,5,documented_use,not_documented,0,[]
batch-08,353894,Myoporum acuminatum,en,draft,64,79,157,26,5,not_documented,not_documented,0,[]
batch-08,931428,Arthrocaulon macrostachyum,en,draft,68,85,153,26,5,not_documented,not_documented,0,[]
batch-08,494399,Pseudopediastrum boryanum,en,draft,71,96,169,26,5,not_documented,not_documented,0,[]
batch-08,60898,Viola lutea,en,draft,58,72,140,26,5,not_documented,not_documented,0,[]
batch-08,55734,Sedum acre,en,draft,72,92,266,132,5,explicitly_inedible,reported,0,[]
batch-08,53212,Silene gallica,en,draft,64,82,140,26,5,not_documented,not_documented,0,[]
batch-08,485745,Blackstonia acuminata,pt,draft,45,70,128,26,5,not_documented,not_documented,0,[]
batch-08,160946,Cotoneaster dammeri,en,draft,73,86,149,26,5,not_documented,not_documented,0,[]
batch-08,336220,Campanula portenschlagiana,en,draft,65,89,157,26,5,not_documented,not_documented,0,[]
batch-08,338059,Eleocharis multicaulis,pt,draft,44,54,122,26,5,not_documented,not_documented,0,[]
batch-08,338093,Bufonia macropetala,pt,draft,42,62,125,26,5,not_documented,not_documented,0,[]
batch-08,165838,Omalotheca sylvatica,en,draft,67,85,143,26,5,not_documented,not_documented,0,[]
batch-08,366106,Trachycarpus martianus,en,draft,67,85,143,26,5,not_documented,not_documented,0,[]
batch-08,77221,Gamochaeta pensylvanica,en,draft,65,80,138,26,5,not_documented,not_documented,0,[]
batch-08,425782,Salacia chinensis,en,draft,54,74,132,26,5,not_documented,not_documented,0,[]
batch-08,1511231,Lotus carpetanus,en,draft,50,63,127,26,5,not_documented,not_documented,0,[]
batch-08,1104037,Philodendron campii,en,draft,35,44,98,26,5,not_documented,not_documented,0,[]
batch-08,512008,Orobanche densiflora,en,insufficient_source,0,0,73,26,26,not_assessed,not_assessed,1,[]
batch-09,54849,Salix purpurea,en,draft,67,82,202,61,17,not_documented,reported,1,[]
batch-09,52119,Populus deltoides,en,draft,66,81,159,26,5,not_documented,not_documented,0,[]
batch-09,68049,Arctostaphylos uva-ursi,en,draft,66,77,366,237,5,documented_use,reported,0,[]
batch-09,290744,Solanum muricatum,en,draft,69,85,190,58,5,documented_use,not_documented,0,[]
batch-09,77290,Glyceria fluitans,en,draft,70,81,250,127,5,documented_use,not_documented,0,[]
batch-09,479929,Euphorbia officinarum,es,draft,60,86,154,26,5,not_documented,not_documented,0,[]
batch-09,204169,Trichophorum cespitosum,en,draft,73,102,175,26,5,not_documented,not_documented,0,[]
batch-09,169751,Thymus pannonicus,en,draft,62,79,220,104,5,documented_use,not_documented,0,[]
batch-09,820727,Micropus supinus,pt,draft,66,79,147,26,5,not_documented,not_documented,0,[]
batch-09,52702,Bromus diandrus,en,draft,72,89,253,127,5,not_documented,reported,0,[]
batch-09,68848,Veronica polita,en,draft,62,82,155,26,5,not_documented,not_documented,0,[]
batch-09,138121,Asplenium hemionitis,en,draft,65,86,144,26,5,not_documented,not_documented,0,[]
batch-09,450399,Geranium reuteri,en,draft,59,77,145,26,5,not_documented,not_documented,0,[]
batch-09,167075,Plumeria obtusa,en,draft,59,73,146,26,5,not_documented,not_documented,0,[]
batch-09,325916,Elymus farctus,pt,draft,28,46,109,26,5,not_documented,not_documented,0,[]
batch-09,169524,Tagetes lemmonii,en,draft,66,87,160,26,5,not_documented,not_documented,0,[]
batch-09,418752,Sinapidendron gymnocalyx,pt,draft,15,23,86,26,5,not_documented,not_documented,0,[]
batch-09,492012,Rumex thyrsoides,pt,draft,14,20,83,26,5,not_documented,not_documented,0,[]
batch-09,208766,Cyperus alternifolius,en,draft,63,78,136,26,5,not_documented,not_documented,0,[]
batch-09,77283,Glinus lotoides,en,draft,72,87,184,60,5,documented_use,not_documented,0,[]
batch-09,75394,Amaranthus fimbriatus,en,draft,55,72,125,26,5,not_documented,not_documented,0,[]
batch-09,169447,Symphoricarpos microphyllus,en,draft,57,66,124,26,5,not_documented,not_documented,0,[]
batch-09,483885,Medicago intertexta,en,draft,29,42,95,26,5,not_documented,not_documented,0,[]
batch-09,199192,Hordeum secalinum,en,draft,50,64,117,26,5,not_documented,not_documented,0,[]
batch-09,588541,Lampranthus emarginatus,en,draft,20,28,81,26,5,not_documented,not_documented,0,[]
batch-10,50859,Catalpa bignonioides,en,draft,77,107,180,26,5,not_documented,not_documented,0,[]
batch-10,76288,Chenopodium vulvaria,en,draft,80,106,184,26,5,not_documented,not_documented,0,[]
batch-10,85275,Podocarpus totara,en,draft,75,107,203,59,5,documented_use,not_documented,0,[]
batch-10,128909,Skimmia japonica,en,draft,75,92,170,26,5,not_documented,not_documented,0,[]
batch-10,78886,Rosa rubiginosa,en,draft,80,101,169,26,5,not_documented,not_documented,0,[]
batch-10,160257,Cedronella canariensis,pt,draft,78,108,186,26,5,not_documented,not_documented,0,[]
batch-10,122777,Cinnamomum verum,en,draft,75,90,206,62,22,documented_use,not_documented,1,[]
batch-10,320730,Stevia rebaudiana,en,draft,73,94,255,114,5,documented_use,not_documented,0,[]
batch-10,430364,Hibiscus elatus,en,draft,78,100,178,26,5,not_documented,not_documented,0,[]
batch-10,77778,Linaria purpurea,en,draft,83,105,212,60,5,not_documented,reported,0,[]
batch-10,469970,Ornithogalum baeticum,pt,draft,84,107,160,26,5,not_documented,not_documented,0,[]
batch-10,243620,Serapias parviflora,en,draft,74,95,168,26,5,not_documented,not_documented,0,[]
batch-10,912871,Daucus decipiens,en,draft,76,96,174,26,5,not_documented,not_documented,0,[]
batch-10,418748,Sinapidendron frutescens,pt,draft,45,63,121,26,5,not_documented,not_documented,0,[]
batch-10,346173,Salvia guaranitica,en,draft,73,94,152,26,5,not_documented,not_documented,0,[]
batch-10,68608,Trentepohlia aurea,en,draft,73,103,161,26,5,not_documented,not_documented,0,[]
batch-10,1263850,Pleroma urvilleanum,en,draft,69,85,149,26,5,not_documented,not_documented,0,[]
batch-10,348760,Hippeastrum striatum,en,draft,70,86,149,26,5,not_documented,not_documented,0,[]
batch-10,161460,Cyperus lupulinus,en,draft,72,96,154,26,5,not_documented,not_documented,0,[]
batch-10,58774,Amaranthus blitoides,en,draft,69,84,230,109,5,documented_use,not_documented,0,[]
batch-10,342039,Osyris lanceolata,en,draft,69,88,146,26,5,not_documented,not_documented,0,[]
batch-10,1425391,Carex demissa,en,draft,63,89,148,26,5,not_documented,not_documented,0,[]
batch-10,451067,Astragalus hamosus,en,insufficient_source,0,0,72,26,25,not_assessed,not_assessed,1,[]
batch-10,185514,Greyia sutherlandii,en,draft,35,48,106,26,5,not_documented,not_documented,0,[]
batch-10,634692,Filago arvensis,en,draft,33,40,98,26,5,not_documented,not_documented,0,[]
